epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.216,0.81456,2.74328,0.89023,0.92274,0.98888,0.995,0.81699,0.52882,0.62266,0.89563,0.000463102,0.000463102,0.000463102
2,24.7853,0.64739,0.71543,0.87783,0.80948,1,0.94683,0.76338,0.58071,0.65567,0.92167,0.000930135,0.000930135,0.000930135
3,36.0862,0.64145,0.53207,0.86897,0.91677,0.84615,0.90806,0.75687,0.63418,0.99184,0.92537,0.00138774,0.00138774,0.00138774
4,48.1578,0.6326,0.4627,0.85138,0.92265,0.8593,0.99056,0.82856,0.53837,0.69653,0.9045,0.00138656,0.00138656,0.00138656
5,60.6726,0.58478,0.45811,0.84247,0.98039,1,0.995,0.85379,0.50343,0.41347,0.88961,0.00137241,0.00137241,0.00137241
6,72.7024,0.5746,0.42428,0.84832,0.98648,0.97445,0.995,0.88336,0.48484,0.38667,0.88318,0.00135826,0.00135826,0.00135826
7,85.0769,0.5614,0.40697,0.84916,0.99332,1,0.995,0.88459,0.48643,0.37828,0.88385,0.00134412,0.00134412,0.00134412
8,96.8307,0.54662,0.38301,0.84087,0.9899,1,0.995,0.85775,0.48213,0.32821,0.88136,0.00132997,0.00132997,0.00132997
9,108.805,0.53418,0.38468,0.8402,0.98542,0.99225,0.995,0.89593,0.45236,0.35409,0.8615,0.00131582,0.00131582,0.00131582
10,121.156,0.52292,0.37758,0.82779,0.98423,0.99445,0.995,0.89045,0.47897,0.36277,0.87092,0.00130168,0.00130168,0.00130168
11,132.336,0.52343,0.36576,0.83903,0.9916,1,0.995,0.90331,0.46123,0.32568,0.87307,0.00128753,0.00128753,0.00128753
12,143.386,0.51485,0.34489,0.82466,0.99237,1,0.995,0.86179,0.47091,0.30259,0.86753,0.00127338,0.00127338,0.00127338
13,154.315,0.49093,0.34264,0.82597,0.98818,1,0.995,0.87301,0.48583,0.32969,0.88784,0.00125923,0.00125923,0.00125923
14,165.236,0.50716,0.3535,0.82748,0.98825,1,0.995,0.87622,0.44683,0.34616,0.86769,0.00124509,0.00124509,0.00124509
15,176.217,0.49561,0.34738,0.82913,0.98963,1,0.995,0.88157,0.46646,0.30491,0.87337,0.00123094,0.00123094,0.00123094
16,186.86,0.49305,0.32837,0.82478,0.9927,1,0.995,0.8657,0.50057,0.31692,0.88062,0.00121679,0.00121679,0.00121679
17,197.56,0.49462,0.33006,0.81905,0.98233,1,0.995,0.89173,0.45822,0.33514,0.87994,0.00120265,0.00120265,0.00120265
18,208.129,0.45278,0.31739,0.81491,0.9939,1,0.995,0.89168,0.41149,0.29384,0.86092,0.0011885,0.0011885,0.0011885
19,218.658,0.45412,0.31616,0.81437,0.98654,1,0.995,0.88779,0.41709,0.27933,0.8621,0.00117435,0.00117435,0.00117435
20,229.416,0.44324,0.30784,0.81337,0.99319,1,0.995,0.9095,0.4695,0.29662,0.87897,0.00116021,0.00116021,0.00116021
21,240.155,0.45384,0.31726,0.82062,0.98624,1,0.995,0.88995,0.41462,0.27326,0.85946,0.00114606,0.00114606,0.00114606
22,250.724,0.47736,0.30863,0.81968,0.99341,1,0.995,0.88848,0.4316,0.2824,0.8621,0.00113191,0.00113191,0.00113191
23,261.351,0.4418,0.30765,0.81018,0.99313,1,0.995,0.91082,0.41169,0.29701,0.8636,0.00111776,0.00111776,0.00111776
24,271.986,0.44847,0.29313,0.81387,0.99022,1,0.995,0.88485,0.43901,0.28356,0.86166,0.00110362,0.00110362,0.00110362
25,282.489,0.4341,0.29277,0.8151,0.99165,1,0.995,0.86017,0.475,0.26839,0.87214,0.00108947,0.00108947,0.00108947
26,293.105,0.42375,0.28717,0.80832,0.99288,1,0.995,0.90741,0.41476,0.25733,0.86245,0.00107532,0.00107532,0.00107532
27,303.66,0.42279,0.27934,0.81111,0.99336,1,0.995,0.88095,0.42095,0.26338,0.86766,0.00106118,0.00106118,0.00106118
28,315.199,0.41675,0.28276,0.81261,0.99352,1,0.995,0.90362,0.41584,0.26083,0.86405,0.00104703,0.00104703,0.00104703
29,326.96,0.42383,0.27477,0.79896,0.98875,1,0.995,0.91125,0.41006,0.2731,0.86094,0.00103288,0.00103288,0.00103288
30,338.628,0.42088,0.26943,0.81175,0.99226,1,0.995,0.90434,0.39217,0.23818,0.85682,0.00101873,0.00101873,0.00101873
31,350.746,0.4101,0.25927,0.81334,0.99371,1,0.995,0.90748,0.39992,0.24424,0.85925,0.00100459,0.00100459,0.00100459
32,362.496,0.40786,0.26703,0.79875,0.99232,1,0.995,0.87388,0.40974,0.25691,0.86075,0.00099044,0.00099044,0.00099044
33,374.619,0.40879,0.26646,0.80775,0.99315,1,0.995,0.8998,0.41232,0.25978,0.86385,0.000976293,0.000976293,0.000976293
34,385.387,0.39635,0.27856,0.81593,0.99231,1,0.995,0.90267,0.40169,0.26369,0.85775,0.000962146,0.000962146,0.000962146
35,395.909,0.39641,0.25477,0.8026,0.99303,1,0.995,0.89818,0.41228,0.24899,0.86361,0.000947999,0.000947999,0.000947999
